ASIGNATURA,TEMA O CONCEPTO,SOLO,BLOOM,TEMA_CLASIFICADO,APRENDIZAJE_ASIGNATURA
ARQUITECTURA DE SOFTWARE,Patrones,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ARQUITECTURA DE SOFTWARE,Definición de las expectativas y alcance de los entregables de la arquitectura de software,Preestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,PROBABILIDAD,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,Arquitectura de datos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,ETL,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,Arquitecturas de despliegue,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,FrontEnd,NO HAY VERBO,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ARQUITECTURA DE SOFTWARE,FRONT END,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,Pruebas de carga y estrés,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
INGENIERÍA DE SOFTWARE,Tutoría estudio financiero,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
INGENIERÍA DE SOFTWARE,UML,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
INGENIERÍA DE SOFTWARE,diagrama de clases,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ARQUITECTURA DE SOFTWARE,Aspectos arquitecturales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,diagrama de secuencia,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ARQUITECTURA DE SOFTWARE,Aspectos arquitecturales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,casos de uso,Relacional,Evaluar,Otros,Evaluar Estrategias para Verificar la Calidad del Código
ARQUITECTURA DE SOFTWARE,tutoria,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
CONSTRUCCIÓN DE SOFTWARE,desarrollo web,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
CONSTRUCCIÓN DE SOFTWARE,programación web,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Aspectos arquitecturales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas tema clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ARQUITECTURA DE SOFTWARE,Aspectos arquitecturales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Dudas tema clase,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ARQUITECTURA DE SOFTWARE,Diseño y Programación ,Abstracto Extendido,Crear,Investigación,Crear Automatización de Pruebas y Mejora Continua
INGENIERÍA DE SOFTWARE,arquitectura empresarial,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Aspectos arquitecturales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Tutoria,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,Resolver dudas de modelo vista controlador,Preestructural,Recordar,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
ARQUITECTURA DE SOFTWARE,Geroku postgres,NO HAY VERBO,NO HAY VERBO,Programación VBA,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,JPA,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,ENTITY MANAGER,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Distribución Binomial campana de GAUSS - 6 Sigmas,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Distribución de poisson,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Cadenas de Markov - Ejercicio Taller ,Relacional,Aplicar,Estadística y Matemáticas,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Cadenas de Markov - Vector de estados iniciales,Multiestructural,Crear,Estadística y Matemáticas,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Markov - operaciones con matrices,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,requerimientos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,Documentación,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
INGENIERÍA DE SOFTWARE,cronograma,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
INGENIERÍA DE SOFTWARE,componentes de desarrollo ,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ALGORITMIA Y PROGRAMACIÓN,Algoritmos en aplicaciones móviles celulares,Relacional,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ALGORITMIA Y PROGRAMACIÓN,Instalación Python,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
PROGRAMACIÓN IMPERATIVA,Proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
PROGRAMACIÓN IMPERATIVA,Matrices en C,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Funciones en c++,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Proyecto Integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
PROGRAMACIÓN IMPERATIVA,Apuntadores en C,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Apuntadores a Matrices,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Apuntadores en c++,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Apuntadores en c++,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Recursividad,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Apuntadores,Uniestructural,Aplicar,Programación Python,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
PROGRAMACIÓN IMPERATIVA,Apuntadores en c++,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
INGENIERÍA WEB,Repositorio remoto 1,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
INGENIERÍA WEB,Mapa de endpoints,NO HAY VERBO,Analizar,Investigación,"Comprende el contexto histórico y social de la informática, mediante el análisis casuístico, relacionando tendencias tecnológicas actuales y sus implicaciones e impactos en la sociedad. "
PROGRAMACIÓN IMPERATIVA,Apuntadores en c++,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Recursividad,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Complejidad computacional ciclos for mejor caso,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Programación clases y objetos en Java,Abstracto Extendido,Crear,Programación Java,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN IMPERATIVA,Matrices en C++,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Funciones en c++,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Funciones en C,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Apuntadores en C,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Apuntadores en c++,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Cadenas en c++,NO HAY VERBO,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Recursividad,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Levantamiento de Requerimientos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,GUI,NO HAY VERBO,NO HAY VERBO,Investigación,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Archivos,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
CONSTRUCCIÓN DE SOFTWARE,programación web,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
CONSTRUCCIÓN DE SOFTWARE,programación web,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Matrices en c++,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Apuntadores en C++,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
PROGRAMACIÓN IMPERATIVA,Estructuras en c,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Cadenas en C,NO HAY VERBO,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Proyecto Integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Proyecto Integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ESTRUCTURAS DE DATOS,Grafos,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ESTRUCTURAS DE DATOS,Grafos,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Manejo de servidor remoto,Aplicar,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
INGENIERÍA WEB,Actualización Servidor Remoto,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ANÁLISIS Y DISEÑO DE ALGORITMOS,resolución de problemas en entrevista,Abstracto Extendido,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ANÁLISIS Y DISEÑO DE ALGORITMOS,Ruta más corta ,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,medidas de tendencia central ,Relacional,Crear,Estadística y Matemáticas,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA WEB,Foreign Key,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Repaso Markov y teoría de colas,Uniestructural,Recordar,Estadística y Matemáticas,Recordar Estrategias de Codificación Efectiva y Eficiente
PROGRAMACIÓN IMPERATIVA,Dudas cilos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas funciones,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN IMPERATIVA,Dudas arreglos,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Requerimientos ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA WEB,Integración de Backen y FrontEND utilizando Srpring Boot y React,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
INGENIERÍA WEB,Herramientas para la gestión de proyectos ágiles como Azure DevOps GitHub o Jira,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,Asesoría Proyecto,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
INGENIERÍA DE SOFTWARE,Proyecto Ingeniería de Software,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ANÁLISIS Y DISEÑO DE ALGORITMOS,PROYECTO MATERIA,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Bases de datos Datamart OLAP,Abstracto Extendido,Crear,Bases de Datos,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA WEB,Verificación artefactos proyecto integrador,Abstracto Extendido,Analizar,Proyecto Integrador,Aplica el proceso de análisis de datos a dataset para extraer patrones y características relevantes que permitan desarrollar soluciones IA a problemas específicos.
